Id_zone,Type_zone,Libelle_zone,value,label
01|85014,Commune,Bazoges-en-Pareds,333,Commune - Bazoges-en-Pareds
01|53025,Commune,Bazougers,334,Commune - Bazougers
01|72025,Commune,Bazouges Cré sur Loir,335,Commune - Bazouges Cré sur Loir
01|49020,Commune,Beaucouzé,336,Commune - Beaucouzé
01|72026,Commune,Beaufay,337,Commune - Beaufay
01|49021,Commune,Beaufort-en-Anjou,338,Commune - Beaufort-en-Anjou
01|85015,Commune,Beaufou,339,Commune - Beaufou
01|85016,Commune,Beaulieu-sous-la-Roche,340,Commune - Beaulieu-sous-la-Roche
01|49022,Commune,Beaulieu-sur-Layon,341,Commune - Beaulieu-sur-Layon
01|53026,Commune,Beaulieu-sur-Oudon,342,Commune - Beaulieu-sur-Oudon
01|53027,Commune,Beaumont-Pied-de-Bœuf (53),343,Commune - Beaumont-Pied-de-Bœuf (53)
01|72028,Commune,Beaumont-Pied-de-Bœuf (72),344,Commune - Beaumont-Pied-de-Bœuf (72)
01|72027,Commune,Beaumont-sur-Dême,345,Commune - Beaumont-sur-Dême
01|72029,Commune,Beaumont-sur-Sarthe,346,Commune - Beaumont-sur-Sarthe
01|49023,Commune,Beaupréau-en-Mauges,347,Commune - Beaupréau-en-Mauges
01|85017,Commune,Beaurepaire (85),348,Commune - Beaurepaire (85)
01|85018,Commune,Beauvoir-sur-Mer,349,Commune - Beauvoir-sur-Mer
01|72031,Commune,Beillé,350,Commune - Beillé
01|53028,Commune,Belgeard,351,Commune - Belgeard
01|49345,Commune,Bellevigne-en-Layon,352,Commune - Bellevigne-en-Layon
01|49060,Commune,Bellevigne-les-Châteaux,353,Commune - Bellevigne-les-Châteaux
01|85019,Commune,Bellevigny,354,Commune - Bellevigny
01|85020,Commune,Benet,355,Commune - Benet
01|72032,Commune,Berfay,356,Commune - Berfay
01|72219,Commune,Bernay-Neuvy-en-Champagne,357,Commune - Bernay-Neuvy-en-Champagne
01|44013,Commune,Besné,358,Commune - Besné
01|85023,Commune,Bessay,359,Commune - Bessay
01|72035,Commune,Bessé-sur-Braye,360,Commune - Bessé-sur-Braye
01|53029,Commune,Bierné-les-Villages,361,Commune - Bierné-les-Villages
01|44015,Commune,Blain,362,Commune - Blain
01|49029,Commune,Blaison-Saint-Sulpice,363,Commune - Blaison-Saint-Sulpice
01|53228,Commune,Blandouet-Saint Jean,364,Commune - Blandouet-Saint Jean
01|49030,Commune,Blou,365,Commune - Blou
01|72037,Commune,Blèves,366,Commune - Blèves
01|85024,Commune,Bois-de-Céné,367,Commune - Bois-de-Céné
01|53034,Commune,Bonchamp-lès-Laval,368,Commune - Bonchamp-lès-Laval
01|72039,Commune,Bonnétable,369,Commune - Bonnétable
